Channel,Followers,Peak viewers
pqueen,485787,11976
Northernlion,359260,9312
Nattank,86544,8770
bmkibler,475075,15034
Arteezy,634982,31009
선바 (sunbaking),251416,8260
flamuu,117425,5242
Mixwell,331208,23552
AntoineDanielLive,416920,16671
G4G_REVENANT,284620,14376
maxim,312566,21262
양띵 (yd0821),279864,38412
c9judite,105341,8210
WOKE,107484,50598
Amaz,915023,12652
ESL_SC2,305311,40072
CooLifeGame,395859,15459
BruceGrannec,463188,11287
CuteDog_,113658,7016
大丸 (wtf_winds123),259338,11975
theRealShooKon3,126282,6148
Albralelie,240030,18730
룩삼 (looksam),285474,32222
GTimeTV,665021,14110
WagamamaTV,312799,7377
sleepy,317125,8855
FifaTargrean,396862,6721
GrandPOObear,253619,13295
Pun1shers_TV,82289,6289
gamelifeow,234471,37939
Sh4dowehhh,84234,11788
LuluLuvely,431852,10110
Swifty,615027,19884
Mibrtv,250709,151094
PsheroTV,202779,10739
bytarifaaa,638657,121009
Alderiate,319860,11480
Solaaaa,309594,16718
Strippin,293665,9127
Mendo,518090,25321
Pikabooirl,237214,21309
Skadoodle,611890,30357
MasterSnakou,448316,12948
루시아 (lucia94),82578,8886
Otzdarva,262104,14940
꽃핀 (cherrypach),240835,10985
Opat04,178477,9497
icebergdoto,171113,16441
P4wnyhof,489174,7196
Mazarin1k,205378,9605
김뚜띠_ (kimdduddi),149158,7244
옥냥이 (rooftopcat99),214028,8794
KingGothalion,1015521,41994
ItsSlikeR,283503,12762
Alinity,1203324,17341
TidesofTime,251700,12457
GernaderJake,295771,21162
スタンミ (sutanmi),53124,7854
DarioMocciaTwitch,114376,8160
bebe872,70232,4965
Lasqa,135446,10010
六希夫 (qttsix),118305,9671
Flight23white,828896,74388
Heelmike,308927,18963
OGADotaPIT,157820,60846
SoloRenektonOnly,391603,5118
OfficialAndyPyro,255595,9676
k3soju,76666,7504
SkyrrozTV,597890,17061
LeBouseuh,988237,24497
BikeMan,264192,7223
Rubini,102528,5521
JLWaliid,272391,19603
qSnake,200878,5441
Criken,285509,11050
Loserfruit,1869993,42374
Broxah,317896,13137
JonVlogs,480299,21617
ImSoFresh,111954,5788
BeBePtv,57205,14353
TrilluXe,412495,27943
landonorris,584831,97550
LotharHS,251812,14561
ElcanaldeJoaco,810622,48072
CzechCloud,180668,8212
chess24,66198,32856
TheNo1Alex,140855,8554
Crystal_LoL,167132,7471
WeAreTheVR,410814,20851
AdzTV,489577,11247
IrmanPlay,252042,17697
Tomato,92634,5358
쫀득이_ (pjs9073),193757,15654
runitup247,91608,1182
NeZaK_,255840,7262
피닉스박1 (xkwhd),142209,9938
skill4ltu,127741,4049
ilMasseo,617665,8980
Worrun_,146163,41881
brax,574927,28736
rewinside,1259972,24167
금사향 (sah_yang),206794,7143
HAchubby,221461,13675
Recrent,220789,6781
iLame,233263,4911
ixxYjYxxi,857099,15223
Wingsofdeath,473157,7176
mang0,328671,24391
Kamikatze,107476,8509
Philza,527540,24611
Kurumx,50286,16413
Pieface23,238155,14072
CurtisRyan,65688,7245
CalebDMTG,71327,5446
MarkiLokurasY,923377,26329
JLBichouu,212578,16461
나나양 (nanayango3o),147351,6411
DavyJones,955846,44526
Fairlight_Excalibur,408958,19156
PG_Esports,112874,24734
StreamerHouse,630255,12609
Peereira7,377689,14532
Twitch,1189614,130795
Sev7n,469944,31836
Wardiii,76777,9459
자동 (tranth),85764,5451
Kubon_,267984,9545
KarasMai,281664,6728
Sloot,205002,21283
LPMassive,315264,18813
羅傑 (roger9527),131484,12707
ChicaLive,1041932,14928
도현_ (d_obby),195405,16860
Valkia,308459,23519
caps,479368,26754
龜狗 (gueigotv),165232,9918
Alfie,183885,15588
NiceWigg,184033,13013
zEkO,743040,21313
x6FlipiN,279204,19304
JASONR,777611,33902
Dhalucard,269408,22306
duckmanzch,122694,14684
MrBboy45,318995,9408
인간젤리 (ses836),105730,7683
AladdinTV,110211,4279
miniminter,858427,27188
ClintStevens,393432,15223
NoctisAK47,73584,7264
Daxak,116897,7721
ThaldrinLol,521166,11305
olyashaa,559877,9142
Jay3,189654,9514
SovietWomble,1368076,9616
GodHunt,202883,19032
Everyeyeit,86590,18421
Speedrun,93358,16604
iamSometimes,179552,23238
Broeki1,150944,13091
hexy,336093,14020
Etoiles,220873,45364
xChocoBars,583881,37216
GN_GG,91514,4859
SheriffEli,265814,5988
iateyourpie,124020,10962
KYR_SP33DY,706212,6607
armateam,187315,3181
JeelTV,357385,7302
Pengu,775987,7707
태준이 (dlxowns45),346631,10549
gabepeixe,149362,5955
TSM_TheOddOne,864087,4363
luke4316live,168531,2757
VGBootCamp,521938,97791
CapcomFighters,348447,84858
Datto,530822,82047
NeverSayYesTwitch,194933,10771
BeatportOfficial,126546,48457
포셔 (portialyn),39485,4498
케인 (kanetv8),141167,10087
Sanchovies,154845,15588
GhostFreak66,111646,94791
RTAinJapan,71730,42822
WankilStudio,726730,28866
SLAKUN10,1874932,48358
Monkeynews,80290,72483
forever,373484,53702
AlpTV,576276,33059
Crocodyle_lol,107835,8810
WARDELL,306435,16215
Tiagovski555YT,220585,11245
Altair,42265,3702
NiteNightKid,28818,29228
fuslie,336394,45247
Tyceno,297359,40407
Faux,237909,15167
RiotGamesTurkish,651994,36258
makataO,391656,12292
Drjayfisto,130341,4092
CarTmaNzbs,386948,7809
Th3Antonio,223756,13955
BigEx,256448,21401
BigSpinCR,185784,21815
